papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
CPLE11;34.54;21.52;0.9;0.826;0.1259;0.379;5.04;5.08;-1.06;7.51;5.59;0.1624;0.0403;0.08560000000000001;0.04190000000000001;1.54;11954800.0;20969700000.0;0.64;0.12890000000000001
CPLE3;6.36;19.81;0.83;0.76;0.1266;0.349;4.64;4.68;-0.97;7.1;5.29;0.1624;0.0403;0.08560000000000001;0.04190000000000001;1.54;7349880.0;20969700000.0;0.64;0.12890000000000001
CPLE5;25.71;80.1;3.36;3.073;0.0344;1.411;18.78;18.92;-3.94;21.34;15.9;0.1624;0.0403;0.08560000000000001;0.04190000000000001;1.54;5584.51;20969700000.0;0.64;0.12890000000000001
CPLE6;7.07;22.03;0.92;0.845;0.1253;0.388;5.16;5.2;-1.08;7.62;5.68;0.1624;0.0403;0.08560000000000001;0.04190000000000001;1.54;100269000.0;20969700000.0;0.64;0.12890000000000001
CRDE3;15.98;-5.53;0.41;5.645;0.0;0.349;10.84;-4.1;-19.57;-3.01;-3.03;-1.3762999999999999;-1.0234999999999999;-0.09630000000000001;-0.0741;1.34;378.27;94414000.0;0.0;-0.2717
CRFB3;13.13;15.89;1.36;0.268;0.025699999999999997;0.299;-6.94;5.64;-0.99;7.27;5.38;0.047599999999999996;0.0194;0.0809;0.0858;0.91;98413800.0;20270000000.0;0.94;0.16620000000000001
CRIV3;4.86;10.88;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0433;0.0;7579.49;1061770000.0;0.0;0.0313
CRIV4;5.1;11.42;0.49;0.0;0.0929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0433;0.0;20944.7;1061770000.0;0.0;0.0313
CRPG5;27.4;7.51;0.87;0.871;0.17350000000000002;0.678;1.46;8.65;1.89;6.96;5.16;0.1007;0.1161;0.0969;0.1162;4.91;156170.0;911266000.0;0.01;0.1263
CRPG6;27.28;7.47;0.87;0.868;0.1743;0.675;1.46;8.62;1.88;6.92;5.13;0.1007;0.1161;0.0969;0.1162;4.91;7727.49;911266000.0;0.01;0.1263
